"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bulgaria","BGR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6","4.3","5.3","5.7","5.8","5.9","5.3","4.8","4.7","4.1","4.2","3.9","3.2","3.2","3.2","2.6","2.4","2.3","2.3","2","2","1.7","1.9","1.5","1.6","1.8","1.1","1.5","","",
"Bahrein","BHR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","1.4","1","","","","1.3","1.1","0.4","0.8","0.4","0.7","0.4","0.5","1.1","0.9","0.5","0.3","0.4","0.5","","","","","",
"Bahamas","BHS","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.6","10.7","15.4","12.9","18.8","14.3","18","16","","","24.8","14.2","16.8","15.8","13.6","15.8","18.2","22.8","20.9","24.5","26.1","34.6","29.8","31.5","32.4","37.7","28.4","30.9","","",
"Bosnia y Herzegovina","BIH","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","","","","","","","","","","2.6","2.2","2.4","","1.8","1.9","1.9","1.7","1.8","1.9","1.5","1.4","1.7","1.3","1.4","1.6","1.3","1.2","","",
"Belarús","BLR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4.5","5.8","7.4","8.1","9.5","9.6","10.1","10.3","9.8","10.2","9.8","10.1","9","8.4","8.6","7.7","6.8","5.7","5.1","4.2","3.9","3.6","3.5","3.6","","","","","",
"Belice","BLZ","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6","25.1","33.2","24.9","28.6","28.6","31.6","32.5","33.6","30.9","40.1","37.7","43.1","28.8","35","33.1","37.6","37.9","","",
"Bermudas","BMU","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","4.9","1.6","4.8","9.6","","6.4","3.2","0","3.1","0","4.7","1.5","3.1","1.5","3.1","4.6","4.6","7.7","9.3","10.9","12.6","9.5","8","6.4","6.5","13","8.2","","",
"Bolivia","BOL","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","5.2","8.2","8.6","8.4","12.8","12.3","11.9","9","8.9","6.3","6.3","","","",
"Brasil","BRA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6","18.5","16.8","17.8","18.7","20.9","21.6","22.2","22.6","22.8","23.7","24.7","25.3","25.7","24","23.3","23.9","23.4","23.8","22.8","22","24.2","26.5","26.8","28.6","28.4","29.7","30.5","","",
"Barbados","BRB","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.1","8","8.4","8","7.6","6.4","","","7.5","8.6","7.4","9.2","9.2","12.1","8.1","10.6","12.7","9.1","8.3","6.8","11.1","9.6","7.8","8.5","8.8","10.9","7.7","10.5","","",
"Brunei Darussalam","BRN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2.6","1.3","1.2","1.2","","","0.8","0.6","0.5","0.8","0.8","0.3","0.8","0.3","0.3","1","0.5","","","","","","",
"Bhután","BTN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7","2.2","5.1","3.6","3.9","3.1","2.3","1.3","2","2.3","3.1","3.2","3.1","0.8","2.3","1.7","1.3","2","2.6","2.2","2.2","4.3","4.4","3.1","","1.5","1.1","1.6","","",
"Botswana","BWA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1","14.3","17.3","14.2","15.7","13.9","14.6","14.4","14.6","15","","","","","","","","","",
"República Centroafricana","CAF","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8","","","",
"Canadá","CAN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","2.7","2.6","2.2","2.1","2","2.1","2","1.9","1.8","1.8","1.8","1.9","1.7","2","2.1","1.9","1.8","1.8","1.8","1.6","1.8","1.6","1.4","1.5","1.7","1.7","1.8","","",
"Europa Central y del Báltico","CEB","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suiza","CHE","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","1.5","1.4","1.5","1.1","1.2","1.2","1.2","1.1","1.2","1","1.2","1.2","1","1.1","1","0.8","0.7","0.7","0.7","0.7","0.6","0.6","0.7","0.5","0.7","0.5","0.5","","",
"Islas del Canal","CHI","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","1.3","","0.6","","0","","","","","","","","","",
"Chile","CHL","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","","3.6","3.6","3.7","3.5","3.7","3.2","3.7","2.5","3.2","","3.4","3.4","4.3","","",
"China","CHN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","2","2.1","2.1","2","2.1","2","2","1.9","1.9","1.6","1.4","1.2","1.1","1.1","1","0.9","0.8","0.8","0.7","0.7","0.6","0.6","","",
"Côte d'Ivoire","CIV","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Camerún","CMR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","4.8","6.4","6.1","","","","","4.1","6.6","5","4.1","4.2","","1","1.2","1.2","1.4","","",
"Congo, República Democrática del","COD","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, República del","COG","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71","81.4","79.3","78.6","73.5","59.6","61.4","60","58.8","61.2","65.7","67.9","68.3","55.8","47.3","41.8","39.9","38.8","35.9","34.8","33.7","34.8","35.1","32.6","27.9","26.5","25.5","24.9","","",
"Comoras","COM","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","4.5","9.3","7.3","6","6.9","7.6","7.8","10.4","10.9","10.4","12.3","8.6","11.5","","","",
"Costa Rica","CRI","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","4.2","4.9","4.8","5.3","5.2","5.3","5.7","5.9","6.4","6.3","6.4","6.3","7.3","6.7","7.9","8.1","8.4","11.6","11.7","11.6","10.3","8.7","8.7","10","11.6","11.9","12.3","","",
"Estados pequeos del Caribe","CSS","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","7.4","8.3","7.8","6.7","6.8","7.4","5.5","5.3","5.4","5.9","5.7","5.9","6.1","5.1","5","4.6","5","4.5","4.7","5.5","5.9","5.2","5.4","5","","","",
"Curacao","CUW","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.7","30.3","33.6","32","20.1","13.6","19.2","","","","","","","","","","","","",
"Islas Caimán","CYM","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","7.6","3.6","7","6.7","6.3","3","5.6","2.6","0","9.6","4.6","0","6.5","10.6","6.2","2","3.9","7.6","14.7","16.2","","","8.6","8.4","","","","","",
"Chipre","CYP","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","0.1","0.2","0.6","0.8","1.1","1.1","0.7","0.8","1.1","0.8","0.7","0.2","1.4","1.6","1.9","1.4","1.2","0.8","1.7","0.7","0.8","1.9","1","1","1.3","1.1","0.6","","",
"República Checa","CZE","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1.7","1.7","1.8","1.7","1.7","1.9","1.3","1.4","1.6","1.3","1.1","1.3","1.2","1.1","0.9","1","0.8","1","0.8","0.8","0.8","0.6","0.6","","",
"Alemania","DEU","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","1.7","1.7","1.6","1.7","1.7","1.5","1.4","1.2","1.2","1.2","1.1","1.2","1.1","1.1","1.1","1","0.9","0.9","1","1","0.9","0.8","0.8","0.9","0.8","1.2","1","","",
"Djibouti","DJI","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.8","10","2.9","1.4","12.9","11.4","11.4","11.3","7.1","9.9","9.8","18.3","21","8.4","","","12.4","12.3","21.8","25.7","","",
"Dinamarca","DNK","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","1.3","1.2","1.4","1.4","1.1","1.3","1.7","0.9","1","1.1","1","0.9","1.2","0.8","1","0.5","0.7","1","0.9","0.8","0.8","0.8","0.9","1.3","1.1","1","1.2","","",
"República Dominicana","DOM","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4","10.8","12.2","13","12.8","12.9","12.7","13.5","12.6","14.1","12.6","14.5","21.2","24.6","25.9","22.9","22.2","24.8","24.3","25","25.1","22.3","19.2","17.4","","15.2","11.3","","",
